iev	time	count	locflow_time	diff	var	phase_type
178	2022-05-03 05:38:11.779846400+00:00	78	2022-05-03 05:38:03.741000+00:00	-8.038846	0.002283066933066917	S
178	2022-05-03 05:39:01.293499904+00:00	32	2022-05-03 05:38:03.741000+00:00	-57.552499	0.004129032258064506	S
179	2022-05-03 05:38:59.817967872+00:00	155	2022-05-03 05:38:53.261000+00:00	-6.556967	0.030843343108504413	P
179	2022-05-03 05:39:00.163380992+00:00	84	2022-05-03 05:38:53.261000+00:00	-6.90238	0.02762317842799771	P
179	2022-05-03 05:39:01.311858176+00:00	268	2022-05-03 05:38:53.261000+00:00	-8.050858	0.0045134929286153504	S
180	2022-05-03 05:46:43.111249920+00:00	40	2022-05-03 05:46:34.901000+00:00	-8.210249	0.002515320512820508	S
181	2022-05-03 05:59:54.502053376+00:00	749	2022-05-03 05:59:47.682000+00:00	-6.820053	0.0041598901922706225	P
181	2022-05-03 05:59:55.918234368+00:00	632	2022-05-03 05:59:47.682000+00:00	-8.236234	0.0029474442817308236	S
181	2022-05-03 05:59:56.033300736+00:00	123	2022-05-03 05:59:47.682000+00:00	-8.3513	0.0023474743435958944	S
182	2022-05-03 06:00:53.357240576+00:00	395	2022-05-03 06:00:46.402000+00:00	-6.95524	0.019196071451519626	P
182	2022-05-03 06:00:54.675787776+00:00	433	2022-05-03 06:00:46.402000+00:00	-8.273787	0.003837010307073815	S
183	2022-05-03 06:02:11.673782272+00:00	101	2022-05-03 06:02:05.202000+00:00	-6.471782	0.10326479207920791	P
183	2022-05-03 06:02:12.113937664+00:00	320	2022-05-03 06:02:05.202000+00:00	-6.911937	0.010520372257053297	P
183	2022-05-03 06:02:13.466966528+00:00	451	2022-05-03 06:02:05.202000+00:00	-8.264966	0.004233498891352542	S
185	2022-05-03 06:21:18.604000256+00:00	70	2022-05-03 06:21:12.262000+00:00	-6.342	0.1115176811594203	P
185	2022-05-03 06:21:19.294449664+00:00	596	2022-05-03 06:21:12.262000+00:00	-7.032449	0.011609787378038458	P
185	2022-05-03 06:21:20.689082112+00:00	706	2022-05-03 06:21:12.262000+00:00	-8.427082	0.005782396078195005	S
186	2022-05-03 07:04:15.331564800+00:00	46	2022-05-03 07:04:20.662000+00:00	5.330436	0.04220869565217389	P
186	2022-05-03 07:04:15.406736640+00:00	38	2022-05-03 07:04:20.662000+00:00	5.255264	0.03320398293029872	S
186	2022-05-03 07:04:28.748595968+00:00	94	2022-05-03 07:04:20.662000+00:00	-8.086595	0.007485060626858858	P
186	2022-05-03 07:04:28.845823744+00:00	68	2022-05-03 07:04:20.662000+00:00	-8.183823	0.016632923617208046	S
186	2022-05-03 07:04:30.141444608+00:00	72	2022-05-03 07:04:20.662000+00:00	-9.479444	0.025306729264475736	S
187	2022-05-03 07:05:39.587555328+00:00	36	2022-05-03 07:05:56.542000+00:00	16.954445	0.046025396825396636	P
187	2022-05-03 07:05:40.456722176+00:00	72	2022-05-03 07:05:56.542000+00:00	16.085278	0.02261682316118935	P
187	2022-05-03 07:06:04.688744448+00:00	86	2022-05-03 07:05:56.542000+00:00	-8.146744	0.004535157318741447	S
188	2022-05-03 07:06:02.472571136+00:00	35	2022-05-03 07:06:17.282000+00:00	14.809429	0.1426173109243697	P
188	2022-05-03 07:06:03.326615296+00:00	39	2022-05-03 07:06:17.282000+00:00	13.955385	0.040214979757085025	P
188	2022-05-03 07:06:04.583156224+00:00	173	2022-05-03 07:06:17.282000+00:00	12.698844	0.01861609759376258	P
188	2022-05-03 07:06:04.679799296+00:00	209	2022-05-03 07:06:17.282000+00:00	12.602201	0.011101863268310641	S
188	2022-05-03 07:06:25.604353280+00:00	51	2022-05-03 07:06:17.282000+00:00	-8.322353	0.006934352941176477	S
189	2022-05-03 07:08:38.617768960+00:00	52	2022-05-03 07:08:33.642000+00:00	-4.975768	0.0013425339366515798	P
189	2022-05-03 07:08:41.846629888+00:00	54	2022-05-03 07:08:33.642000+00:00	-8.204629	0.004847973445143263	S
190	2022-05-03 07:10:44.373818368+00:00	44	2022-05-03 07:10:36.202000+00:00	-8.171818	0.010178012684989426	S
190	2022-05-03 07:11:32.468559360+00:00	93	2022-05-03 07:10:36.202000+00:00	-56.266559	0.01093368396446944	P
190	2022-05-03 07:11:33.847046656+00:00	107	2022-05-03 07:10:36.202000+00:00	-57.645046	0.002621460059954129	S
191	2022-05-03 07:10:42.775676672+00:00	68	2022-05-03 07:10:54.542000+00:00	11.766324	0.0440325504828797	P
191	2022-05-03 07:10:43.258307584+00:00	65	2022-05-03 07:10:54.542000+00:00	11.283693	0.0654736538461538	P
